source_row,url,price_tenge,price_is_installment,city,district,building_type,complex_name,build_year,is_under_construction,floor,floor_total,floor_is_first,floor_is_last,area_total_m2,kitchen_area_m2,apartment_condition,bathroom,balcony,balcony_glazed,door,phone,internet,parking,furnished,flooring,ceiling_height_m,security_features,former_dormitory,exchange_possible,rooms,rooms_bucket_estimated,rooms_estimate_is_heuristic,parse_warnings,lat,lon,fetched_at,price_m2,ln_price_m2,ln_area,fetch_year,building_age,kitchen_area_ratio,distance_to_center_km,distance_to_park_km,near_park_1km,distance_to_embankment_km,near_embankment_1km,mall_khan_shatyr_1km,mall_mega_silkway_1km,mall_asia_park_1km,mall_keruen_1km,mall_keruen_city_1km,mall_saryarka_1km,near_mall_1km,grid_cell_id,avg_price_m2_within_3km_mean,avg_price_m2_within_3km_median,n_neighbors_3km,low_confidence_spatial,complex_median_price_m2,complex_listing_count,complex_insufficient_n,district_median_price_m2,district_listing_count,district_insufficient_n,spatial_price_ratio,spatial_price_pct_vs_avg,spatial_rank_reliable,percentile_rank_in_district,percentile_rank_in_complex,predicted_ln_price_m2,ols_residual_score,predicted_price_m2,actual_price_m2,good_deal_score
2,https://krisha.kz/a/show/1000486032,56500000.0,False,Астана,Нура,монолитный,Turan Tower,2026.0,True,5.0,27.0,False,False,65.3,10.0,rough,2 с/у и более,,,,,,паркинг,,,3.2,[],False,False,,3-room,True,[],51.126178,71.402707,2026-07-13T15:47:25,865237.3660030628,13.670759159834285,4.178992036282385,2026,0.0,0.1531393568147014,1.959464229961704,3.0509025329743347,False,2.177211801445014,False,True,False,False,True,False,False,True,11350_9954,,,0,True,865237.3660030628,1.0,True,865237.3660030628,1.0,True,,,False,0.0,0.0,,,,865237.3660030628,
3,https://krisha.kz/a/show/1003520266,52500000.0,False,Астана,Алматы,монолитный,View Park Family,2022.0,False,2.0,20.0,False,False,90.0,56.0,fresh_renovation,2 с/у и более,балкон,,деревянная,отдельный,,паркинг,полностью,ламинат,2.85,"['охрана', 'домофон', 'видеонаблюдение', 'видеодомофон']",False,False,,3-room,True,[],51.115261,71.510083,2026-07-13T15:47:30,583333.3333333334,13.276514057231587,4.499809670330265,2026,4.0,0.6222222222222222,5.730941063083545,4.763319616044552,False,5.424830340528409,False,False,False,False,False,False,False,False,11347_9969,705118.4895881895,705128.2051282051,3,False,583333.3333333334,1.0,True,523255.8139534884,11.0,False,0.8272727272727274,-0.17272727272727262,True,0.7,0.0,13.460818648812607,-0.18430459158101975,701389.5016106181,583333.3333333334,1.3221891882555115
7,https://krisha.kz/a/show/1006614188,84999999.0,False,Астана,Алматы,кирпичный,Фирдаус,2025.0,False,5.0,12.0,False,False,110.0,12.1,fresh_renovation,2 с/у и более,несколько балконов или лоджий,,металлическая,есть возможность подключения,проводной,паркинг,частично,ламинат,2.8,"['домофон', 'видеонаблюдение', 'видеодомофон']",False,False,,4+room,True,[],51.117317269673,71.51270284443,2026-07-13T15:47:51,772727.2636363637,13.557681436897468,4.700480365792417,2026,1.0,0.11,5.856506619214003,4.8641590916993485,False,5.58243444449671,False,False,False,False,False,False,False,False,11348_9969,641987.1794871795,637500.0,3,False,772727.2636363637,1.0,True,523255.8139534884,11.0,False,1.2121211978609627,0.21212119786096273,True,1.0,0.0,13.410552161132191,0.1471292757652769,667004.5597839509,772727.2636363637,-1.1856634965839419
15,https://krisha.kz/a/show/1011106536,23700000.0,False,Астана,Сарыарка,кирпичный,Акерке 2,2025.0,False,10.0,22.0,False,False,35.0,10.0,fresh_renovation,совмещенный,лоджия,,металлическая,есть возможность подключения,ADSL,рядом охраняемая стоянка,частично,ламинат,2.7,"['домофон', 'кодовый замок', 'сигнализация', 'видеонаблюдение']",False,False,,1-room,True,[],51.168629452144,71.396319428487,2026-07-13T15:48:32,677142.8571428572,13.425637544615943,3.555348061489413,2026,1.0,0.2857142857142857,5.091932097947189,5.518958437033907,False,5.831880469772714,False,False,False,False,False,False,False,False,11359_9953,,,0,True,677142.8571428572,1.0,True,677142.8571428572,1.0,True,,,False,0.0,0.0,,,,677142.8571428572,
8,https://krisha.kz/a/show/1006735760,51000000.0,False,Астана,Алматы,монолитный,ХАБАР,2021.0,False,3.0,10.0,False,False,80.0,,unknown,2 с/у и более,,,,,,паркинг,полностью,,2.7,[],False,False,,3-room,True,[],51.1293931087,71.482721929047,2026-07-13T15:47:56,637500.0,13.36530955601472,4.382026634673881,2026,5.0,,3.63963805843115,2.563401195509248,False,3.579267784703244,False,False,False,False,False,False,False,False,11350_9965,573006.2944406276,536850.5372326574,8,False,637500.0,1.0,True,523255.8139534884,11.0,False,1.1874813486937494,0.18748134869374944,True,0.8,0.0,13.26475109179894,0.10055846421577996,576511.8028674034,637500.0,-0.9323010043183713
12,https://krisha.kz/a/show/1009402004,78950600.0,True,Астана,Есильский,монолитный,Sanara,2027.0,True,,,,,106.69,,unknown,2 с/у и более,,,,,,,,,3.0,[],,,,4+room,True,['pipe-delimited parameters fallback detected'],51.080510863237,71.418951469314,2026-07-13T15:48:15,740000.0,13.514405465180351,4.66992743320337,2026,0.0,,5.364803273016515,5.817974217131163,False,4.66215509175424,False,False,False,False,False,False,False,False,11339_9956,702127.659574468,702127.659574468,1,True,740000.0,1.0,True,721063.8297872341,2.0,True,1.053939393939394,0.053939393939393954,False,1.0,0.0,13.477134153647436,0.03727131153291552,712926.8886296591,740000.0,-0.2514022945685913
97,https://krisha.kz/a/show/1013662433,27500000.0,False,Астана,Алматы,кирпичный,Orleu,2026.0,True,2.0,9.0,False,False,39.0,10.0,unknown,,,,,,,,,,,[],,False,,1-room,True,['pipe-delimited parameters fallback detected'],51.129245279201,71.491166684709,2026-07-13T15:55:43,705128.2051282051,13.466134916507151,3.6635616461296463,2026,0.0,0.2564102564102564,4.228123462085813,3.152922915388581,False,4.149695969647501,False,False,False,False,False,False,False,False,11350_9966,559964.2182611448,523255.8139534884,9,False,705128.2051282051,1.0,True,523255.8139534884,11.0,False,1.3475783475783474,0.3475783475783474,True,0.9,0.0,13.167355307030016,0.2987796094771351,523009.7090532052,705128.2051282051,-2.1964618899700907
20,https://krisha.kz/a/show/1012086048,22400000.0,False,Астана,Алматы,,,1989.0,False,6.0,6.0,False,True,51.0,,unknown,,балкон,,,,,,,,,[],False,False,,2-room,True,['pipe-delimited parameters fallback detected'],51.158111,71.491272,2026-07-13T15:48:59,439215.6862745098,12.992745884100945,3.9318256327243257,2026,37.0,,5.382980044287809,4.44349832844738,False,5.753292508504028,False,False,False,False,False,False,False,False,11357_9966,507686.22789676784,521233.2098626857,6,False,,,,523255.8139534884,11.0,False,0.8426471643858174,-0.15735283561418256,True,0.0,,13.19602203461274,-0.2032761505117957,538219.6539900564,439215.6862745098,1.339915923563695
21,https://krisha.kz/a/show/1012125254,22500000.0,False,Астана,Алматы,кирпичный,,2006.0,False,3.0,5.0,False,False,43.0,,fresh_renovation,совмещенный,балкон,True,металлическая,есть возможность подключения,ADSL,рядом охраняемая стоянка,частично,ламинат,2.7,"['домофон', 'видеонаблюдение']",False,False,,1-room,True,[],51.155331,71.496806,2026-07-13T15:49:04,523255.8139534884,13.167825751481086,3.7612001156935615,2026,20.0,,5.516713406272451,4.527244289833493,False,5.828253880659982,False,False,False,False,False,False,False,False,11356_9967,523886.4921185476,519867.5496688742,7,False,,,,523255.8139534884,11.0,False,1.0065175529551178,0.0065175529551178,True,0.5,,13.17491242574432,-0.007086674263234727,526977.1277587244,523255.8139534884,0.0704984067304689
37,https://krisha.kz/a/show/1013578608,16000000.0,False,Астана,Алматы,кирпичный,,1992.0,False,5.0,5.0,False,True,36.0,,fresh_renovation,,,,,,,,,,2.7,[],False,False,,1-room,True,[],51.151614,71.497443,2026-07-13T15:50:30,444444.4444444445,13.004580341747946,3.58351893845611,2026,34.0,,5.340917467285394,4.319311264058386,False,5.606159851961337,False,False,False,False,False,False,False,False,11355_9967,547939.6017923596,522927.3420049928,8,False,,,,523255.8139534884,11.0,False,0.8499162479061977,-0.15008375209380231,True,0.1,,13.15779110302147,-0.15321076127352384,518031.38231255085,444444.4444444445,1.1321964357508403
