source_row,url,price_tenge,price_is_installment,city,district,building_type,complex_name,build_year,is_under_construction,floor,floor_total,floor_is_first,floor_is_last,area_total_m2,kitchen_area_m2,apartment_condition,bathroom,balcony,balcony_glazed,door,phone,internet,parking,furnished,flooring,ceiling_height_m,security_features,former_dormitory,exchange_possible,rooms,rooms_bucket_estimated,rooms_estimate_is_heuristic,parse_warnings,lat,lon,fetched_at,price_m2,ln_price_m2,ln_area,fetch_year,building_age,kitchen_area_ratio,distance_to_center_km,distance_to_park_km,near_park_1km,distance_to_embankment_km,near_embankment_1km,mall_khan_shatyr_1km,mall_mega_silkway_1km,mall_asia_park_1km,mall_keruen_1km,mall_keruen_city_1km,mall_saryarka_1km,near_mall_1km,grid_cell_id,avg_price_m2_within_3km_mean,avg_price_m2_within_3km_median,n_neighbors_3km,low_confidence_spatial,complex_median_price_m2,complex_listing_count,complex_insufficient_n,district_median_price_m2,district_listing_count,district_insufficient_n
2,https://krisha.kz/a/show/1000486032,56500000.0,False,Астана,Нура,монолитный,Turan Tower,2026.0,True,5.0,27.0,False,False,65.3,10.0,rough,2 с/у и более,,,,,,паркинг,,,3.2,[],False,False,,3-room,True,[],51.126178,71.402707,2026-07-13T15:47:25,865237.3660030628,13.670759159834285,4.178992036282385,2026,0.0,0.1531393568147014,1.9594642299617042,3.0509025329743347,False,2.177211801445014,False,True,False,False,True,False,False,True,11350_9954,,,0,True,865237.3660030628,1.0,True,865237.3660030628,1.0,True
3,https://krisha.kz/a/show/1003520266,52500000.0,False,Астана,Алматы,монолитный,View Park Family,2022.0,False,2.0,20.0,False,False,90.0,56.0,fresh_renovation,2 с/у и более,балкон,,деревянная,отдельный,,паркинг,полностью,ламинат,2.85,"['охрана', 'домофон', 'видеонаблюдение', 'видеодомофон']",False,False,,3-room,True,[],51.115261,71.510083,2026-07-13T15:47:30,583333.3333333334,13.276514057231587,4.499809670330265,2026,4.0,0.6222222222222222,5.730941063083545,4.763319616044552,False,5.424830340528409,False,False,False,False,False,False,False,False,11347_9969,705118.4895881895,705128.2051282051,3,False,583333.3333333334,1.0,True,523255.81395348837,11.0,False
7,https://krisha.kz/a/show/1006614188,84999999.0,False,Астана,Алматы,кирпичный,Фирдаус,2025.0,False,5.0,12.0,False,False,110.0,12.1,fresh_renovation,2 с/у и более,несколько балконов или лоджий,,металлическая,есть возможность подключения,проводной,паркинг,частично,ламинат,2.8,"['домофон', 'видеонаблюдение', 'видеодомофон']",False,False,,4+room,True,[],51.117317269673,71.51270284443,2026-07-13T15:47:51,772727.2636363637,13.557681436897468,4.700480365792417,2026,1.0,0.11,5.856506619214003,4.8641590916993485,False,5.58243444449671,False,False,False,False,False,False,False,False,11348_9969,641987.1794871795,637500.0,3,False,772727.2636363637,1.0,True,523255.81395348837,11.0,False
15,https://krisha.kz/a/show/1011106536,23700000.0,False,Астана,Сарыарка,кирпичный,Акерке 2,2025.0,False,10.0,22.0,False,False,35.0,10.0,fresh_renovation,совмещенный,лоджия,,металлическая,есть возможность подключения,ADSL,рядом охраняемая стоянка,частично,ламинат,2.7,"['домофон', 'кодовый замок', 'сигнализация', 'видеонаблюдение']",False,False,,1-room,True,[],51.168629452144,71.396319428487,2026-07-13T15:48:32,677142.8571428572,13.425637544615945,3.5553480614894135,2026,1.0,0.2857142857142857,5.091932097947189,5.518958437033907,False,5.831880469772714,False,False,False,False,False,False,False,False,11359_9953,,,0,True,677142.8571428572,1.0,True,677142.8571428572,1.0,True
8,https://krisha.kz/a/show/1006735760,51000000.0,False,Астана,Алматы,монолитный,ХАБАР,2021.0,False,3.0,10.0,False,False,80.0,,unknown,2 с/у и более,,,,,,паркинг,полностью,,2.7,[],False,False,,3-room,True,[],51.1293931087,71.482721929047,2026-07-13T15:47:56,637500.0,13.365309556014719,4.382026634673881,2026,5.0,,3.63963805843115,2.563401195509248,False,3.579267784703244,False,False,False,False,False,False,False,False,11350_9965,573006.2944406276,536850.5372326574,8,False,637500.0,1.0,True,523255.81395348837,11.0,False
12,https://krisha.kz/a/show/1009402004,78950600.0,True,Астана,Есильский,монолитный,Sanara,2027.0,True,,,,,106.69,,unknown,2 с/у и более,,,,,,,,,3.0,[],,,,4+room,True,['pipe-delimited parameters fallback detected'],51.080510863237,71.418951469314,2026-07-13T15:48:15,740000.0,13.514405465180353,4.66992743320337,2026,0.0,,5.364803273016515,5.817974217131163,False,4.66215509175424,False,False,False,False,False,False,False,False,11339_9956,702127.659574468,702127.659574468,1,True,740000.0,1.0,True,721063.8297872341,2.0,True
97,https://krisha.kz/a/show/1013662433,27500000.0,False,Астана,Алматы,кирпичный,Orleu,2026.0,True,2.0,9.0,False,False,39.0,10.0,unknown,,,,,,,,,,,[],,False,,1-room,True,['pipe-delimited parameters fallback detected'],51.129245279201,71.491166684709,2026-07-13T15:55:43,705128.2051282051,13.466134916507153,3.6635616461296463,2026,0.0,0.2564102564102564,4.228123462085813,3.152922915388581,False,4.149695969647501,False,False,False,False,False,False,False,False,11350_9966,559964.2182611448,523255.81395348837,9,False,705128.2051282051,1.0,True,523255.81395348837,11.0,False
20,https://krisha.kz/a/show/1012086048,22400000.0,False,Астана,Алматы,,,1989.0,False,6.0,6.0,False,True,51.0,,unknown,,балкон,,,,,,,,,[],False,False,,2-room,True,['pipe-delimited parameters fallback detected'],51.158111,71.491272,2026-07-13T15:48:59,439215.6862745098,12.992745884100943,3.9318256327243257,2026,37.0,,5.382980044287809,4.44349832844738,False,5.753292508504028,False,False,False,False,False,False,False,False,11357_9966,507686.22789676784,521233.2098626857,6,False,,,,523255.81395348837,11.0,False
21,https://krisha.kz/a/show/1012125254,22500000.0,False,Астана,Алматы,кирпичный,,2006.0,False,3.0,5.0,False,False,43.0,,fresh_renovation,совмещенный,балкон,True,металлическая,есть возможность подключения,ADSL,рядом охраняемая стоянка,частично,ламинат,2.7,"['домофон', 'видеонаблюдение']",False,False,,1-room,True,[],51.155331,71.496806,2026-07-13T15:49:04,523255.81395348837,13.167825751481086,3.7612001156935624,2026,20.0,,5.516713406272451,4.527244289833493,False,5.828253880659982,False,False,False,False,False,False,False,False,11356_9967,523886.4921185476,519867.5496688742,7,False,,,,523255.81395348837,11.0,False
37,https://krisha.kz/a/show/1013578608,16000000.0,False,Астана,Алматы,кирпичный,,1992.0,False,5.0,5.0,False,True,36.0,,fresh_renovation,,,,,,,,,,2.7,[],False,False,,1-room,True,[],51.151614,71.497443,2026-07-13T15:50:30,444444.44444444444,13.004580341747946,3.58351893845611,2026,34.0,,5.340917467285394,4.319311264058386,False,5.606159851961337,False,False,False,False,False,False,False,False,11355_9967,547939.6017923596,522927.34200499277,8,False,,,,523255.81395348837,11.0,False
43,https://krisha.kz/a/show/695373596,27500000.0,False,Астана,Алматы,кирпичный,,1986.0,False,2.0,5.0,False,False,49.9,,fresh_renovation,раздельный,балкон,,металлическая,,,,полностью,ламинат,2.7,['домофон'],False,False,,2-room,True,[],51.155371058693,71.490273626983,2026-07-13T15:51:03,551102.2044088177,13.219675559879327,3.910021002757473,2026,40.0,,5.143829021591455,4.183101961579143,False,5.491090717794944,False,False,False,False,False,False,False,False,11356_9966,534607.381796813,521233.2098626857,8,False,,,,523255.81395348837,11.0,False
58,https://krisha.kz/a/show/1013824197,15700000.0,False,Астана,Алматы,панельный,,1981.0,False,1.0,5.0,True,False,30.2,,needs_renovation,совмещенный,,,металлическая,,,,частично,ламинат,,"['решетки на окнах', 'домофон']",False,False,,1-room,True,[],51.154547176423,71.476870024778,2026-07-13T15:52:21,519867.5496688742,13.161329345937713,3.407841924380824,2026,45.0,,4.359224598409812,3.4768055099762294,False,4.782424557475181,False,False,False,False,False,False,False,False,11356_9964,538511.7136393059,522927.34200499277,8,False,,,,523255.81395348837,11.0,False
133,https://krisha.kz/a/show/1012455052,18500000.0,False,Астана,Алматы,кирпичный,,2003.0,False,2.0,5.0,False,False,35.4,,unknown,,,,,,,,,,3.0,[],,False,,1-room,True,['pipe-delimited parameters fallback detected'],51.147083,71.471006,2026-07-13T15:58:58,522598.8700564972,13.166569469908824,3.5667118201397288,2026,23.0,,3.515123714276694,2.5791437660311,False,3.8890442029532637,False,False,False,False,False,False,False,False,11354_9963,538170.298590853,521561.68181118125,8,False,,,,523255.81395348837,11.0,False
161,https://krisha.kz/a/show/1013735443,32000000.0,False,Астана,Алматы,монолитный,,2014.0,False,14.0,16.0,False,False,66.0,,unknown,,,,,,,,,,2.7,[],,True,,3-room,True,['pipe-delimited parameters fallback detected'],51.139872,71.479136,2026-07-13T16:01:31,484848.48484848486,13.091591718737575,4.189654742026425,2026,12.0,,3.626777281406456,2.5593778967532748,False,3.812833449905627,False,False,False,False,False,False,False,False,11353_9964,542889.0967418546,522927.34200499277,8,False,,,,523255.81395348837,11.0,False
87,https://krisha.kz/a/show/1011447964,,False,,,,,,,,,,,,,unknown,,,,,,,,,,,[],,,,,False,"['status=error, no advert_info/parameters to parse']",,,2026-07-13T15:54:49,,,,2026,,,,,,,,,,,,,,,,,,0,True,,,,,,
11,https://krisha.kz/a/show/1009264234,33000000.0,False,Астана,Есильский,монолитный,MOD Frame,2026.0,True,12.0,12.0,False,True,47.0,,unknown,совмещенный,,,бронированная,,,паркинг,,,3.0,[],False,False,,2-room,True,[],51.078294763157,71.435875298999,2026-07-13T15:48:11,702127.659574468,13.461870517720696,3.8501476017100584,2026,0.0,,5.561427304782368,5.792663523434213,False,4.808403171743969,False,False,False,False,False,False,False,False,11339_9958,740000.0,740000.0,1,True,702127.659574468,1.0,True,721063.8297872341,2.0,True
